obj_x,obj_y,lid_x,lid_y,lid_on,table_height,camera_viewpoint,traj_id
0.1,0.0,0.5,0.5,True,3.0,back,1767994635.0
0.2,0.4,0.5,0.5,True,3.0,back,1770618449.0
0.1,0.1,0.5,0.5,True,3.0,back,1770618537.0
0.3,0.3,0.5,0.5,True,3.0,back,1770618576.0
0.0,0.0,0.5,0.5,True,3.0,back,1770618612.0
0.1,0.5,0.5,0.5,True,3.0,back,1770618642.0
0.2,0.4,0.5,0.5,True,3.0,back,1770618701.0
0.0,0.1,0.5,0.5,True,3.0,back,1770618751.0
0.0,0.2,0.5,0.5,True,3.0,back,1770618852.0
0.1,0.1,0.5,0.5,True,3.0,back,1770618894.0
0.2,0.3,0.5,0.5,True,3.0,back,1770618969.0
0.2,0.1,0.5,0.5,True,3.0,back,1770619074.0
0.0,0.2,0.5,0.5,True,3.0,back,1770619131.0
0.1,0.2,3.0,back,1771049023,,,
0.4,0.3,3.0,back,1771049084,,,
0.0,0.5,3.0,back,1771288904,,,
0.2,0.4,3.0,back,1771288956,,,
0.2,0.2,3.0,back,1771289001,,,
0.0,0.5,3.0,back,1771289039,,,
0.4,0.3,3.0,back,1771289097,,,
