obj_x,obj_y,lid_x,lid_y,lid_on,table_height,camera_viewpoint,traj_id
0.3,0.1,0.5,0.5,True,3.0,right,1767915176.0
0.1,0.2,0.5,0.5,True,3.0,right,1767915216.0
0.2,0.2,0.5,0.5,True,3.0,right,1767915588.0
0.1,0.3,0.5,0.5,True,3.0,right,1770620246.0
0.0,0.3,0.5,0.5,True,3.0,right,1770620355.0
0.4,0.3,0.5,0.5,True,3.0,right,1770620396.0
0.4,0.3,0.5,0.5,True,3.0,right,1770620606.0
0.3,0.4,0.5,0.5,True,3.0,right,1770620682.0
0.3,0.4,0.5,0.5,True,3.0,right,1770620779.0
0.0,0.5,0.5,0.5,True,3.0,right,1770620851.0
0.4,0.3,3.0,right,1771050908,,,
0.1,0.2,3.0,right,1771050973,,,
0.1,0.5,3.0,right,1771051023,,,
0.2,0.3,3.0,right,1771051139,,,
0.0,0.5,3.0,right,1771051184,,,
0.1,0.4,3.0,right,1771054412,,,
0.3,0.1,3.0,right,1771054461,,,
0.1,0.3,3.0,right,1771054507,,,
0.2,0.1,3.0,right,1771054550,,,
0.3,0.3,3.0,right,1771054591,,,
